adam;adam;cass;
advision;advision;cart;
apfm1000;apfm1000;cart;
apple2;apple2ee;flop1;
apple2gs;apple2gs;flop1;
arcadia;arcadia;cart;
archimedes;aa4401;flop;
astrocde;astrocde;cart;
atom;atom;flop1;'*DOS\n*DIR\n*CAT\n*RUN"'
bbc;bbcb;flop1;
camplynx;lynx128k;cass;'mload""'
cdi;cdimono1;cdrm;
coco;coco3;cart;
crvision;crvision;cart;
electron;electron64;cass;'*T.\nCH.""\n'
fm7;fm7;flop1;
fmtowns;fmtmarty;cdrm;
gamate;gamate;cart;
gameandwatch;;;
gamecom;gamecom;cart1;
gamepock;gamepock;cart;
gmaster;gmaster;cart;
gp32;gp32;memc;
laser310;laser310;dump;
lcdgames;;;
macintosh;maclc3;flop1;
megaduck;megaduck;cart;
pdp1;pdp1;ptap1;
plugnplay;;;
pv1000;pv1000;cart;
socrates;socrates;cart;
supracan;supracan;cart;
ti99;ti99_4a;cart;
tutor;tutor;cart;
vc4000;vc4000;cart;
vectrex;vectrex;cart;
vgmplay;vgmplay;quik;
vsmile;vsmile;cart;
xegs;xegs;cart;