Another Heaven - Memory of those Days (Japan);90
Digital Monster Card Game - Ver. WonderSwan Color (Japan);90
Digital Monster Card Game - Ver. WonderSwan Color (Japan) (Rev 2);90
Digital Monster Card Game - Ver. WonderSwan Color (Japan) [T-En by Kaiisen & Wazzpinator v1.1] [i];90
GunPey EX (Japan);90
Judgement Silversword - Rebirth Edition (Japan) (Rev 4321);90
Judgement Silversword - Rebirth Edition (Japan) (Rev 5C21);90
Kurupara! (Japan) (Rev 1);90
Last Alive (Japan);90
Mikeneko Holmes - Ghost Panic (Japan);90
Sorobang (Japan) (Rev 1);90
Terrors 2 (Japan);90
Tetris (Japan);90
Wonder Classic (Japan);90